name,dept,area,count,adjustedcount,year
Jianke Zhu,Zhejiang University,eccv,1.0,0.33333,2006
Jianke Zhu,Zhejiang University,eccv,1.0,0.25,2008
Jianke Zhu,Zhejiang University,eccv,1.0,0.2,2012
Jianke Zhu,Zhejiang University,eccv,1.0,0.16667,2022
Jianke Zhu,Zhejiang University,eccv,1.0,0.2,2024
Jianke Zhu,Zhejiang University,iccv,1.0,0.33333,2009
Jianke Zhu,Zhejiang University,iccv,1.0,0.14286,2023
Jianke Zhu,Zhejiang University,iclr,1.0,0.25,2025
Jianke Zhu,Zhejiang University,icml,1.0,0.25,2006
Jianke Zhu,Zhejiang University,ijcai,1.0,0.25,2013
Jianke Zhu,Zhejiang University,ijcai,3.0,1.5833,2017
Jianke Zhu,Zhejiang University,ijcai,2.0,0.47619,2024
Jianke Zhu,Zhejiang University,ijcai,1.0,0.14286,2025
Jianke Zhu,Zhejiang University,iros,2.0,1.0,2023
Jianke Zhu,Zhejiang University,iros,2.0,0.5,2025
Jianke Zhu,Zhejiang University,naacl,1.0,0.058824,2025
Jianke Zhu,Zhejiang University,nips,1.0,0.2,2007
Jianke Zhu,Zhejiang University,nips,2.0,0.36667,2009
Jianke Zhu,Zhejiang University,nips,1.0,0.125,2023
Jianke Zhu,Zhejiang University,sigir,1.0,0.16667,2013
Jianling Sun,Zhejiang University,aaai,1.0,0.16667,2015
Jianling Sun,Zhejiang University,aaai,1.0,0.25,2016
Jianling Sun,Zhejiang University,aaai,1.0,0.2,2018
Jianling Sun,Zhejiang University,aaai,1.0,0.16667,2019
Jianling Sun,Zhejiang University,acl,1.0,0.33333,2019
Jianling Sun,Zhejiang University,acl,1.0,0.2,2024
Jianling Sun,Zhejiang University,ase,1.0,0.2,2019
Jianling Sun,Zhejiang University,ase,1.0,0.14286,2020
Jianling Sun,Zhejiang University,ase,1.0,0.14286,2024
Jianling Sun,Zhejiang University,cvpr,1.0,0.25,2020
Jianling Sun,Zhejiang University,fast,1.0,0.083333,2020
Jianling Sun,Zhejiang University,fse,1.0,0.16667,2024
Jianling Sun,Zhejiang University,icde,1.0,0.2,2021
Jianling Sun,Zhejiang University,icde,1.0,0.16667,2024
Jianling Sun,Zhejiang University,icml,2.0,0.4,2024
Jianling Sun,Zhejiang University,icml,1.0,0.16667,2025
Jianling Sun,Zhejiang University,icse,1.0,0.2,2020
Jianling Sun,Zhejiang University,icse,1.0,0.14286,2025
Jianling Sun,Zhejiang University,ijcai,1.0,0.2,2017
Jianling Sun,Zhejiang University,kdd,1.0,0.2,2020
Jianling Sun,Zhejiang University,kdd,1.0,0.25,2022
Jianling Sun,Zhejiang University,kdd,1.0,0.16667,2024
Jianling Sun,Zhejiang University,nips,1.0,0.25,2022
Jianling Sun,Zhejiang University,sigir,1.0,0.16667,2019
Jianling Sun,Zhejiang University,sigir,1.0,0.25,2021
Jianling Sun,Zhejiang University,sigmod,1.0,0.2,2021
Jianling Sun,Zhejiang University,sigmod,1.0,0.041667,2023
Jianling Sun,Zhejiang University,vldb,1.0,0.16667,2022
Jianling Sun,Zhejiang University,vldb,1.0,0.16667,2023
Jianling Sun,Zhejiang University,www,1.0,0.2,2022
Jianling Sun,Zhejiang University,www,1.0,0.25,2023
Jianling Sun,Zhejiang University,www,1.0,0.25,2024
Jianwei Yin,Zhejiang University,aaai,1.0,0.16667,2021
Jianwei Yin,Zhejiang University,aaai,2.0,0.5,2023
Jianwei Yin,Zhejiang University,aaai,4.0,0.65278,2024
Jianwei Yin,Zhejiang University,aaai,2.0,0.20192,2025
Jianwei Yin,Zhejiang University,acl,1.0,0.16667,2024
Jianwei Yin,Zhejiang University,ase,1.0,0.11111,2024
Jianwei Yin,Zhejiang University,asplos,2.0,0.24286,2024
Jianwei Yin,Zhejiang University,cav,1.0,0.2,2025
Jianwei Yin,Zhejiang University,ccs,2.0,0.21111,2021
Jianwei Yin,Zhejiang University,ccs,1.0,0.125,2022
Jianwei Yin,Zhejiang University,chiconf,1.0,0.14286,2018
Jianwei Yin,Zhejiang University,dac,1.0,0.14286,2023
Jianwei Yin,Zhejiang University,dac,2.0,0.36667,2024
Jianwei Yin,Zhejiang University,dac,3.0,0.36111,2025
Jianwei Yin,Zhejiang University,emnlp,1.0,0.125,2024
Jianwei Yin,Zhejiang University,fse,1.0,0.125,2025
Jianwei Yin,Zhejiang University,hpca,1.0,0.14286,2023
Jianwei Yin,Zhejiang University,hpca,1.0,0.2,2025
Jianwei Yin,Zhejiang University,iccad,1.0,0.16667,2023
Jianwei Yin,Zhejiang University,iccad,1.0,0.11111,2025
Jianwei Yin,Zhejiang University,icde,1.0,0.125,2019
